Name,Source,ClassName,ClassSource,Level,Description
Spellcasting,XPHB,Bard,XPHB,1,"[""You have learned to cast spells through your bardic arts. See {@book chapter 7|XPHB|7} for the rules on spellcasting. The information below details how you use those rules with Bard spells, which appear in the {@filter Bard spell list|spells|class=Bard} later in the class's description."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""You know two cantrips of your choice from the {@filter Bard spell list|spells|class=Bard}. {@spell Dancing Lights|XPHB} and {@spell Vicious Mockery|XPHB} are recommended."", ""Whenever you gain a Bard level, you can replace one of your cantrips with another cantrip of your choice from the {@filter Bard spell list|spells|class=Bard}."", ""When you reach Bard levels 4 and 10, you learn another cantrip of your choice from the {@filter Bard spell list|spells|class=Bard}, as shown in the Cantrips column of the Bard Features table.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Bard Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a {@variantrule Long Rest|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Prepared Spells of Level 1+"", ""entries"": [""You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the {@filter Bard spell list|spells|class=Bard}. {@spell Charm Person|XPHB}, {@spell Color Spray|XPHB}, {@spell Dissonant Whispers|XPHB}, and {@spell Healing Word|XPHB} are recommended."", ""The number of spells on your list increases as you gain Bard levels, as shown in the Prepared Spells column of the Bard Features table. Whenever that number increases, choose additional spells from the {@filter Bard spell list|spells|class=Bard} until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Bard, your list of prepared spells can include six spells of levels 1 and 2 in any combination."", ""If another Bard feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Bard spells for you.""]}, {""type"": ""entries"", ""name"": ""Changing Your Prepared Spells"", ""entries"": [""Whenever you gain a Bard level, you can replace one spell on your list with another Bard spell for which you have spell slots.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Charisma is your spellcasting ability for your Bard spells.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use a {@item Musical Instrument|XPHB} as a {@variantrule Spellcasting Focus|XPHB} for your Bard spells.""]}]}]"
Expertise,XPHB,Bard,XPHB,2,"[""You gain {@variantrule Expertise|XPHB} in two of your skill proficiencies of your choice. {@skill Performance|XPHB} and {@skill Persuasion|XPHB} are recommended if you have proficiency in them."", ""At Bard level 9, you gain {@variantrule Expertise|XPHB} in two more of your skill proficiencies of your choice.""]"
Jack of All Trades,XPHB,Bard,XPHB,2,"[""You can add half your {@variantrule Proficiency|XPHB|Proficiency Bonus} (round down) to any ability check you make that uses a skill proficiency you lack and that doesn't otherwise use your {@variantrule Proficiency|XPHB|Proficiency Bonus}."", ""For example, if you make a Strength ({@skill Athletics|XPHB}) check and lack {@skill Athletics|XPHB} proficiency, you can add half your {@variantrule Proficiency|XPHB|Proficiency Bonus} to the check."", {""type"": ""inset"", ""name"": ""A Bard's Repertoire"", ""entries"": [""Does your Bard beat a {@item drum|XPHB} while chanting the deeds of ancient heroes? Strum a {@item lute|XPHB} while crooning romantic tunes? Perform arias of stirring power? Recite dramatic monologues from classic tragedies? Use the rhythm of a folk dance to coordinate the movement of allies in battle? Compose naughty limericks?"", ""When you play a Bard, consider the style of artistic performance you favor, the moods you might invoke, and the themes that inspire your own creations. Are your poems inspired by moments of natural beauty, or are they brooding reflections on loss? Do you prefer lofty hymns or rowdy tavern songs? Are you drawn to laments for the fallen or celebrations of joy? Do you dance merry jigs or perform elaborate interpretive choreography? Do you focus on one style of performance or strive to master them all?""]}]"
Bard Subclass,XPHB,Bard,XPHB,3,"[""You gain a Bard subclass of your choice. A subclass is a specialization that grants you features at certain Bard levels. For the rest of your career, you gain each of your subclass's features that are of your Bard level or lower.""]"
Ability Score Improvement,XPHB,Bard,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Bard levels 8, 12, and 16.""]"
Font of Inspiration,XPHB,Bard,XPHB,5,"[""You now regain all your expended uses of Bardic Inspiration when you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}."", ""In addition, you can expend a spell slot (no action required) to regain one expended use of Bardic Inspiration.""]"
Subclass Feature,XPHB,Bard,XPHB,6,"[""You gain a feature from your Bard Subclass.""]"
Countercharm,XPHB,Bard,XPHB,7,"[""You can use musical notes or words of power to disrupt mind-influencing effects. If you or a creature within 30 feet of you fails a saving throw against an effect that applies the {@condition Charmed|XPHB} or {@condition Frightened|XPHB} condition, you can take a {@variantrule Reaction|XPHB} to cause the save to be rerolled, and the new roll has {@variantrule Advantage|XPHB}.""]"
Ability Score Improvement,XPHB,Bard,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Expertise,XPHB,Bard,XPHB,9,"[""You gain {@variantrule Expertise|XPHB} in two of your Skill Proficiencies of your choice.""]"
Magical Secrets,XPHB,Bard,XPHB,10,"[""You've learned secrets from various magical traditions. Whenever you reach a Bard level (including this level) and the Prepared Spells number in the Bard Features table increases, you can choose any of your new prepared spells from the {@filter Bard|spells|class=Bard}, {@filter Cleric|spells|class=Cleric}, {@filter Druid|spells|class=Druid}, and {@filter Wizard|spells|class=Wizard} {@filter spell lists|spells|class=Bard;Cleric;Druid;Wizard}, and the chosen spells count as Bard spells for you (see a class's section for its spell list). In addition, whenever you replace a spell prepared for this class, you can replace it with a spell from those lists.""]"
Ability Score Improvement,XPHB,Bard,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Bard,XPHB,14,"[""You gain a feature from your Bard Subclass.""]"
Ability Score Improvement,XPHB,Bard,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Superior Inspiration,XPHB,Bard,XPHB,18,"[""When you roll {@variantrule Initiative|XPHB}, you regain expended uses of Bardic Inspiration until you have two if you have fewer than that.""]"
Epic Boon,XPHB,Bard,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Spell Recall|XPHB} is recommended.""]"
Words of Creation,XPHB,Bard,XPHB,20,"[""You have mastered two of the Words of Creation: the words of life and death. You therefore always have the {@spell Power Word Heal|XPHB} and {@spell Power Word Kill|XPHB} spells prepared. When you cast either spell, you can target a second creature with it if that creature is within 10 feet of the first target.""]"
Fighting Style,XPHB,Fighter,XPHB,1,"[""You have honed your martial prowess and gain a {@filter Fighting Style feat|feats|category=FS} of your choice. {@feat Defense|XPHB} is recommended."", ""Whenever you gain a Fighter level, you can replace the feat you chose with a different {@filter Fighting Style feat|feats|category=FS}.""]"
Second Wind,XPHB,Fighter,XPHB,1,"[""You have a limited well of physical and mental stamina that you can draw on. As a {@variantrule Bonus Action|XPHB}, you can use it to regain {@variantrule Hit Points|XPHB} equal to {@dice 1d10} plus your Fighter level."", ""You can use this feature twice. You regain one expended use when you finish a {@variantrule Short Rest|XPHB}, and you regain all expended uses when you finish a {@variantrule Long Rest|XPHB}."", ""When you reach certain Fighter levels, you gain more uses of this feature, as shown in the Second Wind column of the Fighter Features table.""]"
Weapon Mastery,XPHB,Fighter,XPHB,1,"[""Your training with weapons allows you to use the {@variantrule weapon mastery properties|XPHB|mastery properties} of three kinds of {@filter Simple|items|type=simple weapon} or {@filter Martial|items|type=martial weapon} weapons of your choice. Whenever you finish a {@variantrule Long Rest|XPHB}, you can practice weapon drills and change one of those weapon choices."", ""When you reach certain Fighter levels, you gain the ability to use the {@variantrule weapon mastery properties|XPHB|mastery properties} of more kinds of weapons, as shown in the Weapon Mastery column of the Fighter Features table.""]"
Action Surge,XPHB,Fighter,XPHB,2,"[""You can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action, except the {@action Magic|XPHB} action."", ""Once you use this feature, you can't do so again until you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. Starting at level 17, you can use it twice before a rest but only once on a turn.""]"
Tactical Mind,XPHB,Fighter,XPHB,2,"[""You have a mind for tactics on and off the battlefield. When you fail an ability check, you can expend a use of your Second Wind to push yourself toward success. Rather than regaining {@variantrule Hit Points|XPHB}, you roll {@dice 1d10} and add the number rolled to the ability check, potentially turning it into a success. If the check still fails, this use of Second Wind isn't expended.""]"
Fighter Subclass,XPHB,Fighter,XPHB,3,"[""You gain a Fighter subclass of your choice. A subclass is a specialization that grants you features at certain Fighter levels. For the rest of your career, you gain each of your subclass's features that are of your Fighter level or lower.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Fighter levels 6, 8, 12, 14, and 16.""]"
Extra Attack,XPHB,Fighter,XPHB,5,"[""You can attack twice instead of once whenever you take the {@action Attack|XPHB} action on your turn.""]"
Tactical Shift,XPHB,Fighter,XPHB,5,"[""Whenever you activate your Second Wind with a {@variantrule Bonus Action|XPHB}, you can move up to half your {@variantrule Speed|XPHB} without provoking {@action Opportunity Attack|XPHB|Opportunity Attacks}.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,6,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Fighter,XPHB,7,"[""You gain a feature from your Fighter Subclass.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Indomitable,XPHB,Fighter,XPHB,9,"[""If you fail a saving throw, you can reroll it with a bonus equal to your Fighter level. You must use the new roll, and you can't use this feature again until you finish a {@variantrule Long Rest|XPHB}."", ""You can use this feature twice before a {@variantrule Long Rest|XPHB} starting at level 13 and three times before a {@variantrule Long Rest|XPHB} starting at level 17.""]"
Tactical Master,XPHB,Fighter,XPHB,9,"[""When you attack with a weapon whose mastery property you can use, you can replace that property with the {@itemMastery Push|XPHB}, {@itemMastery Sap|XPHB}, or {@itemMastery Slow|XPHB} property for that attack.""]"
Subclass Feature,XPHB,Fighter,XPHB,10,"[""You gain a feature from your Fighter Subclass.""]"
Two Extra Attacks,XPHB,Fighter,XPHB,11,"[""You can attack three times instead of once whenever you take the {@action Attack|XPHB} action on your turn.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Indomitable,XPHB,Fighter,XPHB,13,"[""If you fail a saving throw, you can reroll it with a bonus equal to your Fighter level. You must use the new roll, and you can't use this feature again until you finish a {@variantrule Long Rest|XPHB}."", ""You can use this feature twice before a {@variantrule Long Rest|XPHB} starting at level 13 and three times before a {@variantrule Long Rest|XPHB} starting at level 17.""]"
Studied Attacks,XPHB,Fighter,XPHB,13,"[""You study your opponents and learn from each attack you make. If you make an attack roll against a creature and miss, you have {@variantrule Advantage|XPHB} on your next attack roll against that creature before the end of your next turn.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,14,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Fighter,XPHB,15,"[""You gain a feature from your Fighter Subclass.""]"
Ability Score Improvement,XPHB,Fighter,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Action Surge,XPHB,Fighter,XPHB,17,"[""You can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action, except the {@action Magic|XPHB} action."", ""Once you use this feature, you can't do so again until you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. Starting at level 17, you can use it twice before a rest but only once on a turn.""]"
Indomitable,XPHB,Fighter,XPHB,17,"[""If you fail a saving throw, you can reroll it with a bonus equal to your Fighter level. You must use the new roll, and you can't use this feature again until you finish a {@variantrule Long Rest|XPHB}."", ""You can use this feature twice before a {@variantrule Long Rest|XPHB} starting at level 13 and three times before a {@variantrule Long Rest|XPHB} starting at level 17.""]"
Subclass Feature,XPHB,Fighter,XPHB,18,"[""You gain a feature from your Fighter Subclass.""]"
Epic Boon,XPHB,Fighter,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Combat Prowess|XPHB} is recommended.""]"
Three Extra Attacks,XPHB,Fighter,XPHB,20,"[""You can attack four times instead of once whenever you take the {@action Attack|XPHB} action on your turn.""]"
Arcane Recovery,XPHB,Wizard,XPHB,1,"[""You can regain some of your magical energy by studying your spellbook. When you finish a {@variantrule Short Rest|XPHB}, you can choose expended spell slots to recover. The spell slots can have a combined level equal to no more than half your Wizard level (round up), and none of the slots can be level 6 or higher. For example, if you're a level 4 Wizard, you can recover up to two levels' worth of spell slots, regaining either one level 2 spell slot or two level 1 spell slots."", ""Once you use this feature, you can't do so again until you finish a {@variantrule Long Rest|XPHB}.""]"
Ritual Adept,XPHB,Wizard,XPHB,1,"[""You can cast any spell as a {@variantrule Ritual|XPHB} if that spell has the {@variantrule Ritual|XPHB} tag and the spell is in your spellbook. You needn't have the spell prepared, but you must read from the book to cast a spell in this way.""]"
Spellcasting,XPHB,Wizard,XPHB,1,"[""As a student of arcane magic, you have learned to cast spells. See {@book chapter 7|XPHB|7} for the rules on spellcasting. The information below details how you use those rules with Wizard spells, which appear in the {@filter Wizard spell list|spells|class=Wizard} later in the class's description."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""You know three Wizard cantrips of your choice. {@spell Light|XPHB}, {@spell Mage Hand|XPHB}, and {@spell Ray of Frost|XPHB} are recommended. Whenever you finish a {@variantrule Long Rest|XPHB}, you can replace one of your cantrips from this feature with another Wizard cantrip of your choice."", ""When you reach Wizard levels 4 and 10, you learn another Wizard cantrip of your choice, as shown in the Cantrips column of the Wizard Features table.""]}, {""type"": ""entries"", ""name"": ""Spellbook"", ""entries"": [""Your wizardly apprenticeship culminated in the creation of a unique book: your spellbook. It is a Tiny object that weighs 3 pounds, contains 100 pages, and can be read only by you or someone casting {@spell Identify|XPHB}. You determine the book's appearance and materials, such as a gilt-edged tome or a collection of vellum bound with twine."", ""The book contains the level 1+ spells you know. It starts with six level 1 Wizard spells of your choice. {@spell Detect Magic|XPHB}, {@spell Feather Fall|XPHB}, {@spell Mage Armor|XPHB}, {@spell Magic Missile|XPHB}, {@spell Sleep|XPHB}, and {@spell Thunderwave|XPHB} are recommended."", ""Whenever you gain a Wizard level after 1, add two Wizard spells of your choice to your spellbook. Each of these spells must be of a level for which you have spell slots, as shown in the Wizard Features table. The spells are the culmination of arcane research you do regularly.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Wizard Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a {@variantrule Long Rest|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Prepared Spells of Level 1+"", ""entries"": [""You prepare the list of level 1+ spells that are available for you to cast with this feature. To do so, choose four spells from your spellbook. The chosen spells must be of a level for which you have spell slots."", ""The number of spells on your list increases as you gain Wizard levels, as shown in the Prepared Spells column of the Wizard Features table. Whenever that number increases, choose additional Wizard spells until the number of spells on your list matches the number in the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Wizard, your list of prepared spells can include six spells of levels 1 and 2 in any combination, chosen from your spellbook."", ""If another Wizard feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Wizard spells for you.""]}, {""type"": ""entries"", ""name"": ""Changing Your Prepared Spells"", ""entries"": [""Whenever you finish a {@variantrule Long Rest|XPHB}, you can change your list of prepared spells, replacing any of the spells there with spells from your spellbook.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Intelligence is your spellcasting ability for your Wizard spells.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use an {@item Arcane Focus|XPHB} or your spellbook as a {@variantrule Spellcasting Focus|XPHB} for your Wizard spells.""]}, {""type"": ""inset"", ""name"": ""Expanding and Replacing a Spellbook"", ""entries"": [""The spells you add to your spellbook as you gain levels reflect your ongoing magical research, but you might find other spells during your adventures that you can add to the book. You could discover a Wizard spell on a {@item Spell Scroll|XDMG}, for example, and then copy it into your spellbook."", {""type"": ""entries"", ""name"": ""Copying a Spell into the Book"", ""entries"": [""When you find a level 1+ Wizard spell, you can copy it into your spellbook if it's of a level you can prepare and if you have time to copy it. For each level of the spell, the transcription takes 2 hours and costs 50 GP. Afterward you can prepare the spell like the other spells in your spellbook.""]}, {""type"": ""entries"", ""name"": ""Copying the Book"", ""entries"": [""You can copy a spell from your spellbook into another book. This is like copying a new spell into your spellbook but faster, since you already know how to cast the spell. You need spend only 1 hour and 10 GP for each level of the copied spell."", ""If you lose your spellbook, you can use the same procedure to transcribe the Wizard spells that you have prepared into a new spellbook. Filling out the remainder of the new book requires you to find new spells to do so. For this reason, many wizards keep a backup spellbook.""]}]}]}]"
Scholar,XPHB,Wizard,XPHB,2,"[""While studying magic, you also specialized in another field of study. Choose one of the following skills in which you have proficiency: {@skill Arcana|XPHB}, {@skill History|XPHB}, {@skill Investigation|XPHB}, {@skill Medicine|XPHB}, {@skill Nature|XPHB}, or {@skill Religion|XPHB}. You have {@variantrule Expertise|XPHB} in the chosen skill.""]"
Wizard Subclass,XPHB,Wizard,XPHB,3,"[""You gain a Wizard subclass of your choice. A subclass is a specialization that grants you features at certain Wizard levels. For the rest of your career, you gain each of your subclass's features that are of your Wizard level or lower.""]"
Ability Score Improvement,XPHB,Wizard,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Wizard levels 8, 12, and 16.""]"
Memorize Spell,XPHB,Wizard,XPHB,5,"[""Whenever you finish a {@variantrule Short Rest|XPHB}, you can study your spellbook and replace one of the level 1+ Wizard spells you have prepared for your Spellcasting feature with another level 1+ spell from the book.""]"
Subclass Feature,XPHB,Wizard,XPHB,6,"[""You gain a feature from your Wizard Subclass.""]"
Ability Score Improvement,XPHB,Wizard,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} Feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Wizard,XPHB,10,"[""You gain a feature from your Wizard Subclass.""]"
Ability Score Improvement,XPHB,Wizard,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} Feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Wizard,XPHB,14,"[""You gain a feature from your Wizard Subclass.""]"
Ability Score Improvement,XPHB,Wizard,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} Feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Spell Mastery,XPHB,Wizard,XPHB,18,"[""You have achieved such mastery over certain spells that you can cast them at will. Choose a level 1 and a level 2 spell in your spellbook that have a casting time of an action. You always have those spells prepared, and you can cast them at their lowest level without expending a spell slot. To cast either spell at a higher level, you must expend a spell slot."", ""Whenever you finish a {@variantrule Long Rest|XPHB}, you can study your spellbook and replace one of those spells with an eligible spell of the same level from the book.""]"
Epic Boon,XPHB,Wizard,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Spell Recall|XPHB} is recommended.""]"
Signature Spells,XPHB,Wizard,XPHB,20,"[""Choose two level 3 spells in your spellbook as your signature spells. You always have these spells prepared, and you can cast each of them once at level 3 without expending a spell slot. When you do so, you can't cast them in this way again until you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. To cast either spell at a higher level, you must expend a spell slot.""]"
Bonus Unarmed Strike,XPHB,Monk,XPHB,1,"[""You can make an {@variantrule Unarmed Strike|XPHB} as a {@variantrule Bonus Action|XPHB}.""]"
Dexterous Attacks,XPHB,Monk,XPHB,1,"[""You can use your Dexterity modifier instead of your Strength modifier for the attack and damage rolls of your Unarmed Strikes and Monk weapons. In addition, when you use the Grapple or Shove option of your {@variantrule Unarmed Strike|XPHB}, you can use your Dexterity modifier instead of your Strength modifier to determine the save DC.""]"
Martial Arts,XPHB,Monk,XPHB,1,"[""Your practice of martial arts gives you mastery of combat styles that use your {@variantrule Unarmed Strike|XPHB} and Monk weapons, which are the following:"", {""type"": ""list"", ""items"": [""{@filter Simple Melee Weapons|items|type=simple weapon;melee weapon=sand}"", ""{@filter Martial Melee Weapons that have the Light property|items|type=martial weapon;melee weapon=sand|property=light}""]}, ""You gain the following benefits while you are unarmed or wielding only Monk weapons and you aren't wearing armor or wielding a {@item Shield|XPHB}."", {""type"": ""entries"", ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Bonus Unarmed Strike|Monk|XPHB|1""}, {""type"": ""refClassFeature"", ""classFeature"": ""Martial Arts Die|Monk|XPHB|1""}, {""type"": ""refClassFeature"", ""classFeature"": ""Dexterous Attacks|Monk|XPHB|1""}]}]"
Martial Arts Die,XPHB,Monk,XPHB,1,"[""You can roll {@damage 1d6} in place of the normal damage of your {@variantrule Unarmed Strike|XPHB} or Monk weapons. This die changes as you gain Monk levels, as shown in the Martial Arts column of the Monk Features table.""]"
Unarmored Defense,XPHB,Monk,XPHB,1,"[""While you aren't wearing armor or wielding a {@item Shield|XPHB}, your base {@variantrule Armor Class|XPHB} equals 10 plus your Dexterity and Wisdom modifiers.""]"
Flurry of Blows,XPHB,Monk,XPHB,2,"[""You can expend 1 Focus Point to make two Unarmed Strikes as a {@variantrule Bonus Action|XPHB}.""]"
Monk's Focus,XPHB,Monk,XPHB,2,"[""Your focus and martial training allow you to harness a well of extraordinary energy within yourself. This energy is represented by Focus Points. Your Monk level determines the number of points you have, as shown in the Focus Points column of the Monk Features table."", ""You can expend these points to enhance or fuel certain Monk features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind, each of which is detailed below."", ""When you expend a Focus Point, it is unavailable until you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}, at the end of which you regain all your expended points."", ""Some features that use Focus Points require your target to make a saving throw. The save DC equals 8 plus your Wisdom modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}."", {""type"": ""entries"", ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Flurry of Blows|Monk|XPHB|2""}, {""type"": ""refClassFeature"", ""classFeature"": ""Patient Defense|Monk|XPHB|2""}, {""type"": ""refClassFeature"", ""classFeature"": ""Step of the Wind|Monk|XPHB|2""}]}]"
Patient Defense,XPHB,Monk,XPHB,2,"[""You can take the {@action Disengage|XPHB} action as a {@variantrule Bonus Action|XPHB}. Alternatively, you can expend 1 Focus Point to take both the {@action Disengage|XPHB} and the {@action Dodge|XPHB} actions as a {@variantrule Bonus Action|XPHB}.""]"
Step of the Wind,XPHB,Monk,XPHB,2,"[""You can take the {@action Dash|XPHB} action as a {@variantrule Bonus Action|XPHB}. Alternatively, you can expend 1 Focus Point to take both the {@action Disengage|XPHB} and {@action Dash|XPHB} actions as a {@variantrule Bonus Action|XPHB}, and your jump distance is doubled for the turn.""]"
Unarmored Movement,XPHB,Monk,XPHB,2,"[""Your speed increases by 10 feet while you aren't wearing armor or wielding a {@item Shield|XPHB}. This bonus increases when you reach certain Monk levels, as shown on the Monk Features table.""]"
Uncanny Metabolism,XPHB,Monk,XPHB,2,"[""When you roll {@variantrule Initiative|XPHB}, you can regain all expended Focus Points. When you do so, roll your Martial Arts die, and regain a number of {@variantrule Hit Points|XPHB} equal to your Monk level plus the number rolled."", ""Once you use this feature, you can't use it again until you finish a {@variantrule Long Rest|XPHB}.""]"
Deflect Attacks,XPHB,Monk,XPHB,3,"[""When an attack roll hits you and its damage includes Bludgeoning, Piercing, or Slashing damage, you can take a {@variantrule Reaction|XPHB} to reduce the attack's total damage against you. The reduction equals {@dice 1d10} plus your Dexterity modifier and Monk level."", ""If you reduce the damage to 0, you can expend 1 Focus Point to redirect some of the attack's force. If you do so, choose a creature you can see within 5 feet of yourself if the attack was a melee attack or a creature you can see within 60 feet of yourself that isn't behind {@variantrule Cover|XPHB|Total Cover} if the attack was a ranged attack. That creature must succeed on a Dexterity saving throw or take damage equal to two rolls of your Martial Arts die plus your Dexterity modifier. The damage is the same type dealt by the attack.""]"
Monk Subclass,XPHB,Monk,XPHB,3,"[""You gain a Monk subclass of your choice. A subclass is a specialization that grants you features at certain Monk levels. For the rest of your career, you gain each of your subclass's features that are of your Monk level or lower.""]"
Ability Score Improvement,XPHB,Monk,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Monk levels 8, 12, and 16.""]"
Slow Fall,XPHB,Monk,XPHB,4,"[""You can take a {@variantrule Reaction|XPHB} when you fall to reduce any damage you take from the fall by an amount equal to five times your Monk level.""]"
Extra Attack,XPHB,Monk,XPHB,5,"[""You can attack twice instead of once whenever you take the {@action Attack|XPHB} action on your turn.""]"
Stunning Strike,XPHB,Monk,XPHB,5,"[""Once per turn when you hit a creature with a Monk weapon or an {@variantrule Unarmed Strike|XPHB}, you can expend 1 Focus Point to attempt a stunning strike. The target must make a Constitution saving throw. On a failed save, the target has the {@condition Stunned|XPHB} condition until the start of your next turn. On a successful save, the target's {@variantrule Speed|XPHB} is halved until the start of your next turn, and the next attack roll made against the target before then has {@variantrule Advantage|XPHB}.""]"
Empowered Strikes,XPHB,Monk,XPHB,6,"[""Whenever you deal damage with your {@variantrule Unarmed Strike|XPHB}, it can deal your choice of Force damage or its normal damage type.""]"
Subclass Feature,XPHB,Monk,XPHB,6,"[""You gain a feature from your Monk subclass.""]"
Evasion,XPHB,Monk,XPHB,7,"[""When you're subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw and only half damage if you fail."", ""You don't benefit from this feature if you have the {@condition Incapacitated|XPHB} condition.""]"
Ability Score Improvement,XPHB,Monk,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Acrobatic Movement,XPHB,Monk,XPHB,9,"[""While you aren't wearing armor or wielding a {@item Shield|XPHB}, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the movement.""]"
Heightened Focus,XPHB,Monk,XPHB,10,"[""Your Flurry of Blows, Patient Defense, and Step of the Wind gain the following benefits."", {""type"": ""entries"", ""name"": """", ""entries"": [{""type"": ""entries"", ""name"": ""Flurry of Blows"", ""entries"": [""You can expend 1 Focus Point to use Flurry of Blows and make three Unarmed Strikes with it instead of two.""]}, {""type"": ""entries"", ""name"": ""Patient Defense"", ""entries"": [""When you expend a Focus Point to use Patient Defense, you gain a number of {@variantrule Temporary Hit Points|XPHB} equal to two rolls of your Martial Arts die.""]}, {""type"": ""entries"", ""name"": ""Step of the Wind"", ""entries"": [""When you expend a Focus Point to use Step of the Wind, you can choose a willing creature within 5 feet of yourself that is Large or smaller. You move the creature with you until the end of your turn. The creature's movement doesn't provoke {@action Opportunity Attack|XPHB|Opportunity Attacks}.""]}]}]"
