Name,Source,ClassName,ClassSource,Level,Description
Fighting Style,PHB,Fighter,PHB,1,"[""You adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take the same Fighting Style option more than once, even if you get to choose again."", {""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refOptionalfeature"", ""optionalfeature"": ""Archery""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Defense""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Dueling""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Great Weapon Fighting""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Protection""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Two-Weapon Fighting""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Blind Fighting|TCE""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Interception|TCE""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Superior Technique|TCE""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Thrown Weapon Fighting|TCE""}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Unarmed Fighting|TCE""}]}]"
Second Wind,PHB,Fighter,PHB,1,"[""You have a limited well of stamina that you can draw on to protect yourself from harm. On your turn, you can use a bonus action to regain hit points equal to {@dice 1d10} + your fighter level."", ""Once you use this feature, you must finish a short or long rest before you can use it again.""]"
Action Surge,PHB,Fighter,PHB,2,"[""Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action."", ""Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn.""]"
Martial Archetype,PHB,Fighter,PHB,3,"[""At 3rd level, you choose an archetype from the list available that you strive to emulate in your combat styles and techniques. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level.""]"
Ability Score Improvement,PHB,Fighter,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Extra Attack,PHB,Fighter,PHB,5,"[""Beginning at 5th level, you can attack twice, instead of once, whenever you take the {@action Attack} action on your turn."", ""The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class.""]"
Ability Score Improvement,PHB,Fighter,PHB,6,"[""When you reach 6th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Martial Archetype feature,PHB,Fighter,PHB,7,"[""At 7th level, you gain a feature granted by your Martial Archetype.""]"
Ability Score Improvement,PHB,Fighter,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Indomitable,PHB,Fighter,PHB,9,"[""Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest."", ""You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level.""]"
Martial Archetype feature,PHB,Fighter,PHB,10,"[""At 10th level, you gain a feature granted by your Martial Archetype.""]"
Extra Attack (2),PHB,Fighter,PHB,11,"[""At 11th level, you can attack three times whenever you take the {@action Attack} action on your turn.""]"
Ability Score Improvement,PHB,Fighter,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Indomitable (two uses),PHB,Fighter,PHB,13,"[""At 13th level, you can use Indomitable twice between long rests.""]"
Ability Score Improvement,PHB,Fighter,PHB,14,"[""When you reach 14th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Martial Archetype feature,PHB,Fighter,PHB,15,"[""At 15th level, you gain a feature granted by your Martial Archetype.""]"
Ability Score Improvement,PHB,Fighter,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Action Surge (two uses),PHB,Fighter,PHB,17,"[""At 17th level, you can use Action Surge twice before a rest, but only once on the same turn.""]"
Indomitable (three uses),PHB,Fighter,PHB,17,"[""At 17th level, you can use Indomitable three times between long rests.""]"
Martial Archetype feature,PHB,Fighter,PHB,18,"[""At 18th level, you gain a feature granted by your Martial Archetype.""]"
Ability Score Improvement,PHB,Fighter,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Extra Attack (3),PHB,Fighter,PHB,20,"[""At 20th level, you can attack four times whenever you take the {@action Attack} action on your turn.""]"
Arcane Recovery,PHB,Wizard,PHB,1,"[""You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your wizard level (rounded up), and none of the slots can be 6th level or higher."", ""For example, if you're a 4th-level wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots.""]"
Spellcasting,PHB,Wizard,PHB,1,"[""As a student of arcane magic, you have a spellbook containing spells that show the first glimmerings of your true power. See {@book chapter 10|PHB|10} for the general rules of spellcasting and {@book chapter 11|PHB|11} for the {@filter wizard spell list|spells|class=wizard}."", {""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""At 1st level, you know three cantrips of your choice from the wizard spell list. You learn additional wizard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Wizard table.""]}, {""type"": ""entries"", ""name"": ""Spellbook"", ""entries"": [""At 1st level, you have a spellbook containing six 1st-level {@filter wizard spells|spells|class=wizard} of your choice. Your spellbook is the repository of the wizard spells you know, except your cantrips, which are fixed in your mind.""]}, {""type"": ""entries"", ""name"": ""Preparing and Casting Spells"", ""entries"": [""The Wizard table shows how many spell slots you have to cast your wizard spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."", ""You prepare the list of wizard spells that are available for you to cast. To do so, choose a number of wizard spells from your spellbook equal to your Intelligence modifier + your wizard level (minimum of one spell). The spells must be of a level for which you have spell slots."", ""For example, if you're a 3rd-level wizard, you have four 1st-level and two 2nd-level spell slots. With an Intelligence of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination, chosen from your spellbook. If you prepare the 1st-level spell {@spell magic missile}, you can cast it using a 1st-level or a 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells."", ""You can change your list of prepared spells when you finish a long rest. Preparing a new list of wizard spells requires time spent studying your spellbook and memorizing the incantations and gestures you must make to cast the spell: at least 1 minute per spell level for each spell on your list.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Intelligence is your spellcasting ability for your wizard spells, since you learn your wizard spells through dedicated study and memorization. You use your Intelligence whenever a spell refers to your spellcasting ability. In addition, you use your Intelligence modifier when setting the saving throw DC for a wizard spell you cast and when making an attack roll with one."", {""type"": ""abilityDc"", ""name"": ""Spell"", ""attributes"": [""int""]}, {""type"": ""abilityAttackMod"", ""name"": ""Spell"", ""attributes"": [""int""]}]}, {""type"": ""entries"", ""name"": ""Ritual Casting"", ""entries"": [""You can cast a wizard spell as a ritual if that spell has the ritual tag and you have the spell in your spellbook. You don't need to have the spell prepared.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use an {@item arcane focus|phb} as a spellcasting focus for your wizard spells.""]}, {""type"": ""entries"", ""name"": ""Learning Spells of 1st Level and Higher"", ""entries"": [""Each time you gain a wizard level, you can add two wizard spells of your choice to your spellbook. Each of these spells must be of a level for which you have spell slots, as shown on the Wizard table. On your adventures, you might find other spells that you can add to your spellbook (see \""Your Spellbook\"").""]}, {""type"": ""inset"", ""name"": ""Your Spellbook"", ""entries"": [""The spells that you add to your spellbook as you gain levels reflect the arcane research you conduct on your own, as well as intellectual breakthroughs you have had about the nature of the multiverse. You might find other spells during your adventures. You could discover a spell recorded on a scroll in an evil wizard's chest, for example, or in a dusty tome in an ancient library."", ""A spellbook doesn't contain cantrips."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Copying a Spell into the Book"", ""entries"": [""When you find a wizard spell of 1st level or higher, you can add it to your spellbook if it is of a spell level you can prepare and if you can spare the time to decipher and copy it."", ""Copying a spell into your spellbook involves reproducing the basic form of the spell, then deciphering the unique system of notation used by the wizard who wrote it. You must practice the spell until you understand the sounds or gestures required, then transcribe it into your spellbook using your own notation."", ""For each level of the spell, the process takes 2 hours and costs 50 gp. The cost represents material components you expend as you experiment with the spell to master it, as well as the fine inks you need to record it. Once you have spent this time and money, you can prepare the spell just like your other spells."", {""type"": ""entries"", ""name"": ""Copying from a Spell Scroll"", ""source"": ""DMG"", ""page"": 139, ""entries"": [""A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When you copy a spell from a spell scroll, you must succeed on an Intelligence ({@skill Arcana}) check with a DC equal to 10 + the spell's level. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed.""]}]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Replacing the Book"", ""entries"": [""You can copy a spell from your own spellbook into another book—for example, if you want to make a backup copy of your spellbook. This is just like copying a new spell into your spellbook, but faster and easier, since you understand your own notation and already know how to cast the spell. You need spend only 1 hour and 10 gp for each level of the copied spell."", ""If you lose your spellbook, you can use the same procedure to transcribe the spells that you have prepared into a new spellbook. Filling out the remainder of your spellbook requires you to find new spells to do so, as normal. For this reason, many wizards keep backup spellbooks in a safe place.""]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""The Book's Appearance"", ""entries"": [""Your spellbook is a unique compilation of spells, with its own decorative flourishes and margin notes. It might be a plain, functional leather volume that you received as a gift from your master, a finely bound gilt-edged tome you found in an ancient library, or even a loose collection of notes scrounged together after you lost your previous spellbook in a mishap.""]}]}]}]"
Arcane Tradition,PHB,Wizard,PHB,2,"[""When you reach 2nd level, you choose an arcane tradition from the list of available traditions, shaping your practice of magic. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.""]"
Ability Score Improvement,PHB,Wizard,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Arcane Tradition feature,PHB,Wizard,PHB,6,"[""At 6th level, you gain a feature granted by your Arcane Tradition.""]"
Ability Score Improvement,PHB,Wizard,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Arcane Tradition feature,PHB,Wizard,PHB,10,"[""At 10th level, you gain a feature granted by your Arcane Tradition.""]"
Ability Score Improvement,PHB,Wizard,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Arcane Tradition feature,PHB,Wizard,PHB,14,"[""At 14th level, you gain a feature granted by your Arcane Tradition.""]"
Ability Score Improvement,PHB,Wizard,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Spell Mastery,PHB,Wizard,PHB,18,"[""At 18th level, you have achieved such mastery over certain spells that you can cast them at will. Choose a 1st-level wizard spell and a 2nd-level wizard spell that are in your spellbook. You can cast those spells at their lowest level without expending a spell slot when you have them prepared. If you want to cast either spell at a higher level, you must expend a spell slot as normal."", ""By spending 8 hours in study, you can exchange one or both of the spells you chose for different spells of the same levels.""]"
Ability Score Improvement,PHB,Wizard,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Signature Spells,PHB,Wizard,PHB,20,"[""When you reach 20th level, you gain mastery over two powerful spells and can cast them with little effort. Choose two 3rd-level wizard spells in your spellbook as your signature spells. You always have these spells prepared, they don't count against the number of spells you have prepared, and you can cast each of them once at 3rd level without expending a spell slot. When you do so, you can't do so again until you finish a short or long rest."", ""If you want to cast either spell at a higher level, you must expend a spell slot as normal.""]"
Martial Arts,PHB,Monk,PHB,1,"[""Your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are {@item shortsword|phb|shortswords} and any {@filter simple melee weapons that don't have the two-handed or heavy property|items|source=phb|category=basic|type=simple weapon;melee weapon=sand|property=!heavy;!two-handed}."", ""You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a {@item shield|phb}."", {""type"": ""list"", ""items"": [""You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons."", ""You can roll a {@dice d4} in place of the normal damage of your unarmed strike or monk weapon. This die changes as you gain monk levels, as shown in the Martial Arts column of the Monk table."", ""When you use the {@action Attack} action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the {@action Attack} action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn.""]}, ""Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama).""]"
Unarmored Defense,PHB,Monk,PHB,1,"[""Beginning at 1st level, while you are wearing no armor and not wielding a shield, your AC equals 10 + your Dexterity modifier + your Wisdom modifier.""]"
Flurry of Blows,PHB,Monk,PHB,2,"[""Immediately after you take the {@action Attack} action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action.""]"
Ki,PHB,Monk,PHB,2,"[""Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Your monk level determines the number of points you have, as shown in the Ki Points column of the Monk table."", ""You can spend these points to fuel various ki features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class."", ""When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself. You must spend at least 30 minutes of the rest meditating to regain your ki points."", ""Some of your ki features require your target to make a saving throw to resist the feature's effects. The saving throw DC is calculated as follows:"", {""type"": ""abilityDc"", ""name"": ""Ki"", ""attributes"": [""wis""]}, {""type"": ""entries"", ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Flurry of Blows|Monk||2""}, {""type"": ""refClassFeature"", ""classFeature"": ""Patient Defense|Monk||2""}, {""type"": ""refClassFeature"", ""classFeature"": ""Step of the Wind|Monk||2""}]}]"
Patient Defense,PHB,Monk,PHB,2,"[""You can spend 1 ki point to take the {@action Dodge} action as a bonus action on your turn.""]"
Step of the Wind,PHB,Monk,PHB,2,"[""You can spend 1 ki point to take the {@action Disengage} or {@action Dash} action as a bonus action on your turn, and your jump distance is doubled for the turn.""]"
Unarmored Movement,PHB,Monk,PHB,2,"[""Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table."", ""At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.""]"
Deflect Missiles,PHB,Monk,PHB,3,"[""Starting at 3rd level, you can use your reaction to deflect or catch the missile when you are hit by a ranged weapon attack. When you do so, the damage you take from the attack is reduced by {@dice 1d10} + your Dexterity modifier + your monk level."", ""If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in one hand and you have at least one hand free. If you catch a missile in this way, you can spend 1 ki point to make a ranged attack (range 20/60 feet) with the weapon or piece of ammunition you just caught, as part of the same reaction. You make this attack with proficiency, regardless of your weapon proficiencies, and the missile counts as a monk weapon for the attack.""]"
Monastic Tradition,PHB,Monk,PHB,3,"[""When you reach 3rd level, you commit yourself to a monastic tradition, chosen from the list of available traditions. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level.""]"
Ability Score Improvement,PHB,Monk,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Slow Fall,PHB,Monk,PHB,4,"[""Beginning at 4th level, you can use your reaction when you fall to reduce any falling damage you take by an amount equal to five times your monk level.""]"
Extra Attack,PHB,Monk,PHB,5,"[""Beginning at 5th level, you can attack twice, instead of once, whenever you take the {@action Attack} action on your turn.""]"
Stunning Strike,PHB,Monk,PHB,5,"[""Starting at 5th level, you can interfere with the flow of ki in an opponent's body. When you hit another creature with a melee weapon attack, you can spend 1 ki point to attempt a stunning strike. The target must succeed on a Constitution saving throw or be {@condition stunned} until the end of your next turn.""]"
Ki-Empowered Strikes,PHB,Monk,PHB,6,"[""Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.""]"
Monastic Tradition feature,PHB,Monk,PHB,6,"[""At 6th level, you gain one feature granted by your Monastic Tradition.""]"
Evasion,PHB,Monk,PHB,7,"[""At 7th level, your instinctive agility lets you dodge out of the way of certain area effects, such as a blue dragon's lightning breath or a {@spell fireball} spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.""]"
Stillness of Mind,PHB,Monk,PHB,7,"[""Starting at 7th level, you can use your action to end one effect on yourself that is causing you to be {@condition charmed} or {@condition frightened}.""]"
Ability Score Improvement,PHB,Monk,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Unarmored Movement improvement,PHB,Monk,PHB,9,"[""At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.""]"
Purity of Body,PHB,Monk,PHB,10,"[""At 10th level, your mastery of the ki flowing through you makes you immune to disease and poison.""]"
Monastic Tradition feature,PHB,Monk,PHB,11,"[""At 11th level, you gain one feature granted by your Monastic Tradition.""]"
Ability Score Improvement,PHB,Monk,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Tongue of the Sun and Moon,PHB,Monk,PHB,13,"[""Starting at 13th level, you learn to touch the ki of other minds so that you understand all spoken languages. Moreover, any creature that can understand a language can understand what you say.""]"
Diamond Soul,PHB,Monk,PHB,14,"[""Beginning at 14th level, your mastery of ki grants you proficiency in all saving throws."", ""Additionally, whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result.""]"
Timeless Body,PHB,Monk,PHB,15,"[""At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water.""]"
Ability Score Improvement,PHB,Monk,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Monastic Tradition feature,PHB,Monk,PHB,17,"[""At 17th level, you gain one feature granted by your Monastic Tradition.""]"
Empty Body,PHB,Monk,PHB,18,"[""Beginning at 18th level, you can use your action to spend 4 ki points to become {@condition invisible} for 1 minute. During that time, you also have resistance to all damage but force damage."", ""Additionally, you can spend 8 ki points to cast the {@spell astral projection} spell, without needing material components. When you do so, you can't take any other creatures with you.""]"
Ability Score Improvement,PHB,Monk,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Perfect Self,PHB,Monk,PHB,20,"[""At 20th level, when you roll for initiative and have no ki points remaining, you regain 4 ki points.""]"
Expertise,PHB,Rogue,PHB,1,"[""At 1st level, choose two of your skill proficiencies, or one of your skill proficiencies and your proficiency with {@item thieves' tools|phb}. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies."", ""At 6th level, you can choose two more of your proficiencies (in skills or with {@item thieves' tools|phb}) to gain this benefit.""]"
Sneak Attack,PHB,Rogue,PHB,1,"[""Beginning at 1st level, you know how to strike subtly and exploit a foe's distraction. Once per turn, you can deal an extra {@damage 1d6} damage to one creature you hit with an attack if you have advantage on the attack roll. The attack must use a finesse or a ranged weapon."", ""You don't need advantage on the attack roll if another enemy of the target is within 5 feet of it, that enemy isn't {@condition incapacitated}, and you don't have disadvantage on the attack roll."", ""The amount of the extra damage increases as you gain levels in this class, as shown in the Sneak Attack column of the Rogue table.""]"
Thieves' Cant,PHB,Rogue,PHB,1,"[""During your rogue training you learned thieves' cant, a secret mix of dialect, jargon, and code that allows you to hide messages in seemingly normal conversation. Only another creature that knows thieves' cant understands such messages. It takes four times longer to convey such a message than it does to speak the same idea plainly."", ""In addition, you understand a set of secret signs and symbols used to convey short, simple messages, such as whether an area is dangerous or the territory of a thieves' guild, whether loot is nearby, or whether the people in an area are easy marks or will provide a safe house for thieves on the run.""]"
Cunning Action,PHB,Rogue,PHB,2,"[""Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the {@action Dash}, {@action Disengage}, or {@action Hide} action.""]"
Roguish Archetype,PHB,Rogue,PHB,3,"[""At 3rd level, you choose an archetype that you emulate in the exercise of your rogue abilities from the list of available archetypes. Your archetype choice grants you features at 3rd level and then again at 9th, 13th, and 17th level.""]"
Ability Score Improvement,PHB,Rogue,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Uncanny Dodge,PHB,Rogue,PHB,5,"[""Starting at 5th level, when an attacker that you can see hits you with an attack, you can use your reaction to halve the attack's damage against you.""]"
Expertise,PHB,Rogue,PHB,6,"[""At 6th level, you can choose two more of your proficiencies (in skills or with {@item thieves' tools|phb}) to gain the benefit of Expertise.""]"
Evasion,PHB,Rogue,PHB,7,"[""Beginning at 7th level, you can nimbly dodge out of the way of certain area effects, such as a red dragon's fiery breath or an {@spell ice storm} spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.""]"
Ability Score Improvement,PHB,Rogue,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Roguish Archetype feature,PHB,Rogue,PHB,9,"[""At 9th level, you gain a feature granted by your Roguish Archetype.""]"
Ability Score Improvement,PHB,Rogue,PHB,10,"[""When you reach 10th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Reliable Talent,PHB,Rogue,PHB,11,"[""By 11th level, you have refined your chosen skills until they approach perfection. Whenever you make an ability check that lets you add your proficiency bonus, you can treat a {@dice d20} roll of 9 or lower as a 10.""]"
Ability Score Improvement,PHB,Rogue,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Roguish Archetype feature,PHB,Rogue,PHB,13,"[""At 13th level, you gain a feature granted by your Roguish Archetype.""]"
Blindsense,PHB,Rogue,PHB,14,"[""Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or {@condition invisible} creature within 10 feet of you.""]"
Slippery Mind,PHB,Rogue,PHB,15,"[""By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws.""]"
Ability Score Improvement,PHB,Rogue,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Roguish Archetype feature,PHB,Rogue,PHB,17,"[""At 17th level, you gain a feature granted by your Roguish Archetype.""]"
Elusive,PHB,Rogue,PHB,18,"[""Beginning at 18th level, you are so evasive that attackers rarely gain the upper hand against you. No attack roll has advantage against you while you aren't {@condition incapacitated}.""]"
Ability Score Improvement,PHB,Rogue,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Stroke of Luck,PHB,Rogue,PHB,20,"[""At 20th level, you have an uncanny knack for succeeding when you need to. If your attack misses a target within range, you can turn the miss into a hit. Alternatively, if you fail an ability check, you can treat the {@dice d20} roll as a 20."", ""Once you use this feature, you can't use it again until you finish a short or long rest.""]"
Favored Enemy,PHB,Ranger,PHB,1,"[""Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy."", ""Choose a type of favored enemy: {@filter aberrations|bestiary|type=aberration}, {@filter beasts|bestiary|type=beast}, {@filter celestials|bestiary|type=celestial}, {@filter constructs|bestiary|type=construct}, {@filter dragons|bestiary|type=dragon}, {@filter elementals|bestiary|type=elemental}, {@filter fey|bestiary|type=fey}, {@filter fiends|bestiary|type=fiend}, {@filter giants|bestiary|type=giant}, {@filter monstrosities|bestiary|type=monstrosity}, {@filter oozes|bestiary|type=ooze}, {@filter plants|bestiary|type=plant}, or {@filter undead|bestiary|type=undead}. Alternatively, you can select two races of {@filter humanoid|bestiary|type=humanoid} (such as {@creature gnoll||gnolls} and {@creature orc||orcs}) as favored enemies."", ""You have advantage on Wisdom ({@skill Survival}) checks to track your favored enemies, as well as on Intelligence checks to recall information about them."", ""When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all."", ""You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures.""]"
Natural Explorer,PHB,Ranger,PHB,1,"[""You are particularly familiar with one type of natural environment and are adept at traveling and surviving in such regions. Choose one type of favored terrain: arctic, coast, desert, forest, grassland, mountain, swamp, or the Underdark. When you make an Intelligence or Wisdom check related to your favored terrain, your proficiency bonus is doubled if you are using a skill that you're proficient in."", ""While traveling for an hour or more in your favored terrain, you gain the following benefits:"", {""type"": ""list"", ""items"": [""Difficult terrain doesn't slow your group's travel."", ""Your group can't become lost except by magical means."", ""Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger."", ""If you are traveling alone, you can move stealthily at a normal pace."", ""When you forage, you find twice as much food as you normally would."", ""While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area.""]}, ""You choose additional favored terrain types at 6th and 10th level.""]"
